"Pays","Date","Infections","Deces","Guerisons","long","lat"
"Andorra","7/14/2020","858","52","803","1.5605337","42.5422917"
"United Arab Emirates","7/14/2020","55198","334","45513","54.3001574","23.9052718"
"Afghanistan","7/14/2020","34740","1048","21454","66.0047311","33.8352322"
"Antigua and Barbuda","7/14/2020","74","3","57","-61.7946956","17.2775426"
"Albania","7/14/2020","3667","97","2062","20.0498303","41.1424513"
"Armenia","7/14/2020","32490","581","20729","44.9299343","40.2895221"
"Angola","7/14/2020","525","26","118","17.5373615","-12.2933611"
"Argentina","7/14/2020","103265","1926","45467","-65.1798088","-35.3813535"
"Austria","7/14/2020","19021","709","17073","14.1264781","47.5854985"
"Australia","7/14/2020","10251","110","7835","134.4909988","-25.7328874"
"Azerbaijan","7/14/2020","24570","313","15640","47.5459965","40.2882767"
"Bosnia and Herzegovina","7/14/2020","6981","226","3179","17.7687659","44.1744991"
"Barbados","7/14/2020","103","7","90","-59.559802","13.1814537"
"Bangladesh","7/14/2020","190057","2424","103227","90.2381279","23.8673041"
"Belgium","7/14/2020","62781","9787","17223","4.6406457","50.6398144"
"Burkina Faso","7/14/2020","1037","53","873","-1.7545684","12.2695368"
"Bulgaria","7/14/2020","7411","276","3517","25.2155233","42.7688999"
"Bahrain","7/14/2020","33476","109","29099","50.5419776","26.0420085"
"Burundi","7/14/2020","269","1","207","29.8751201","-3.3593926"
"Benin","7/14/2020","1378","26","557","2.3278453","9.6417533"
"Bolivia","7/14/2020","49250","1866","15294","-64.6853892","-16.7081454"
"Bhutan","7/14/2020","84","0","78","90.401895","27.4110619"
"Botswana","7/14/2020","399","1","38","23.7985373","-22.1840203"
"Belarus","7/14/2020","65269","474","55799","28.0320871","53.5313115"
"Belize","7/14/2020","37","2","20","-88.7101023","17.2002747"
"Canada","7/14/2020","110058","8836","73420","-98.3077572","61.3620683"
"Democratic Republic of the Congo","7/14/2020","8135","190","3948","23.6439564","-2.8774601"
"Central African Republic","7/14/2020","4321","53","1208","20.4682636","6.56823"
"Republic of the Congo","7/14/2020","2028","47","589","15.2196572","-0.8378817"
"Suiss","7/14/2020","33016","1968","29600","#N/A","#N/A"
"Ivory Coast","7/14/2020","12872","84","6810","-5.569216","7.6284287"
"Chile","7/14/2020","317657","7024","286556","-71.3825588","-37.7306975"
"Cameroon","7/14/2020","15173","359","11928","12.7396427","5.691103"
"China","7/14/2020","85117","4641","79907","103.8190738","36.561768"
"Colombia","7/14/2020","150445","5634","63451","-73.0811494","3.9138316"
"Costa Rica","7/14/2020","8036","34","2304","-84.1920879","9.9763424"
"Cuba","7/14/2020","2432","87","2275","-79.0160691","21.6229002"
"Cape Verde","7/14/2020","1722","19","772","-23.9599097","15.9551882"
"Cyprus","7/14/2020","1023","19","839","33.0060036","34.9166693"
"Czech Republic","7/14/2020","13238","353","8373","15.3124007","49.7334107"
"Germany","7/14/2020","200456","9077","185100","10.3857769","51.106979"
"Djibouti","7/14/2020","4979","56","4743","42.5606768","11.7487205"
"Denemark","7/14/2020","13262","610","12361","#N/A","#N/A"
"Dominica","7/14/2020","18","0","18","-61.3577312","15.4394721"
"Dominican Republic","7/14/2020","46305","910","23134","-70.5056909","18.8943308"
"Algeria","7/14/2020","19689","1018","14019","2.617321","28.1589384"
"Ecuador","7/14/2020","68459","5063","30369","-78.7520357","-1.4238195"
"Estonia","7/14/2020","2015","69","1897","25.5424855","58.6719242"
"Egypt","7/14/2020","83001","3935","24975","29.8618993","26.4959311"
"Sahara Occidental","7/14/2020","10","1","8","#N/A","#N/A"
"Eritrea","7/14/2020","232","0","107","38.8461544","15.3618688"
"Spain","7/14/2020","256619","28409","150376","-3.6475487","40.2444863"
"Ethiopia","7/14/2020","7766","128","2430","39.6008014","8.6227842"
