"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"1","7/14/2020","Andorra","858","52","803","1.5605337","42.5422917"
"2","7/14/2020","United Arab Emirates","55198","334","45513","54.3001574","23.9052718"
"3","7/14/2020","Afghanistan","34740","1048","21454","66.0047311","33.8352322"
"4","7/14/2020","Antigua and Barbuda","74","3","57","-61.7946956","17.2775426"
"5","7/14/2020","Albania","3667","97","2062","20.0498303","41.1424513"
"6","7/14/2020","Armenia","32490","581","20729","44.9299343","40.2895221"
"7","7/14/2020","Angola","525","26","118","17.5373615","-12.2933611"
"8","7/14/2020","Argentina","103265","1926","45467","-65.1798088","-35.3813535"
"9","7/14/2020","Austria","19021","709","17073","14.1264781","47.5854985"
"10","7/14/2020","Australia","10251","110","7835","134.4909988","-25.7328874"
"11","7/14/2020","Azerbaijan","24570","313","15640","47.5459965","40.2882767"
"12","7/14/2020","Bosnia and Herzegovina","6981","226","3179","17.7687659","44.1744991"
"13","7/14/2020","Barbados","103","7","90","-59.5598020","13.1814537"
"14","7/14/2020","Bangladesh","190057","2424","103227","90.2381279","23.8673041"
"15","7/14/2020","Belgium","62781","9787","17223","4.6406457","50.6398144"
"16","7/14/2020","Burkina Faso","1037","53","873","-1.7545684","12.2695368"
"17","7/14/2020","Bulgaria","7411","276","3517","25.2155233","42.7688999"
"18","7/14/2020","Bahrain","33476","109","29099","50.5419776","26.0420085"
"19","7/14/2020","Burundi","269","1","207","29.8751201","-3.3593926"
"20","7/14/2020","Benin","1378","26","557","2.3278453","9.6417533"
"21","7/14/2020","Bolivia","49250","1866","15294","-64.6853892","-16.7081454"
"22","7/14/2020","Bhutan","84","0","78","90.4018950","27.4110619"
"23","7/14/2020","Botswana","399","1","38","23.7985373","-22.1840203"
"24","7/14/2020","Belarus","65269","474","55799","28.0320871","53.5313115"
"25","7/14/2020","Belize","37","2","20","-88.7101023","17.2002747"
"26","7/14/2020","Canada","110058","8836","73420","-98.3077572","61.3620683"
"27","7/14/2020","Democratic Republic of the Congo","8135","190","3948","23.6439564","-2.8774601"
"28","7/14/2020","Central African Republic","4321","53","1208","20.4682636","6.5682300"
"29","7/14/2020","Republic of the Congo","2028","47","589","15.2196572","-0.8378817"
"30","7/14/2020","Suiss","33016","1968","29600","#N/A","#N/A"
"31","7/14/2020","Ivory Coast","12872","84","6810","-5.5692160","7.6284287"
"32","7/14/2020","Chile","317657","7024","286556","-71.3825588","-37.7306975"
"33","7/14/2020","Cameroon","15173","359","11928","12.7396427","5.6911030"
"34","7/14/2020","China","85117","4641","79907","103.8190738","36.5617680"
"35","7/14/2020","Colombia","150445","5634","63451","-73.0811494","3.9138316"
"36","7/14/2020","Costa Rica","8036","34","2304","-84.1920879","9.9763424"
"37","7/14/2020","Cuba","2432","87","2275","-79.0160691","21.6229002"
"38","7/14/2020","Cape Verde","1722","19","772","-23.9599097","15.9551882"
"39","7/14/2020","Cyprus","1023","19","839","33.0060036","34.9166693"
"40","7/14/2020","Czech Republic","13238","353","8373","15.3124007","49.7334107"
"41","7/14/2020","Germany","200456","9077","185100","10.3857769","51.1069790"
"42","7/14/2020","Djibouti","4979","56","4743","42.5606768","11.7487205"
"43","7/14/2020","Denemark","13262","610","12361","#N/A","#N/A"
"44","7/14/2020","Dominica","18","0","18","-61.3577312","15.4394721"
"45","7/14/2020","Dominican Republic","46305","910","23134","-70.5056909","18.8943308"
"46","7/14/2020","Algeria","19689","1018","14019","2.6173210","28.1589384"
"47","7/14/2020","Ecuador","68459","5063","30369","-78.7520357","-1.4238195"
"48","7/14/2020","Estonia","2015","69","1897","25.5424855","58.6719242"
"49","7/14/2020","Egypt","83001","3935","24975","29.8618993","26.4959311"
"50","7/14/2020","Sahara Occidental","10","1","8","#N/A","#N/A"
"51","7/14/2020","Eritrea","232","0","107","38.8461544","15.3618688"
"52","7/14/2020","Spain","256619","28409","150376","-3.6475487","40.2444863"
"53","7/14/2020","Ethiopia","7766","128","2430","39.6008014","8.6227842"
"54","7/14/2020","Finland","7301","329","6800","26.2746702","64.4988484"
"55","7/14/2020","Fiji","26","0","18","165.4505548","-17.4285609"
"56","7/14/2020","France","211633","30029","78388","2.5361847","46.1870058"
"57","7/14/2020","Gabon","6026","46","3475","11.7886301","-0.5866033"
"58","7/14/2020","United kingdom","291691","44915","1384","-2.8656336","54.1238716"
"59","7/14/2020","Grenada","23","0","23","-61.6821942","12.1172555"
"60","7/14/2020","Georgia","999","15","870","43.5077900","42.1685594"
"61","7/14/2020","Ghana","24988","139","21067","-1.2167690","7.9534512"
"62","7/14/2020","Gambia","64","3","34","-15.3960181","13.4496538"
"63","7/14/2020","Guinea","6141","37","4862","-10.9406638","10.4362159"
"64","7/14/2020","Equatorial Guinea","3071","51","842","10.3413890","1.7055404"
"65","7/14/2020","Greece","3826","193","1374","22.9555621","39.0746697"
"66","7/14/2020","Guatemala","29742","1244","4321","-90.3648229","15.6940416"
"67","7/14/2020","Guinea Bissau","1842","26","773","-14.9497294","12.0474445"
"68","7/14/2020","Guyana","300","17","155","-58.9820260","4.7937805"
"69","7/14/2020","Honduras","28579","789","3123","-86.6151685","14.8268823"
"70","7/14/2020","Croatia","3827","120","2558","16.4041308","45.0804728"
"71","7/14/2020","Haiti","6727","141","3022","-72.6852736","18.9350096"
"72","7/14/2020","Hungary","4258","595","3106","19.3955938","47.1627771"
"73","7/14/2020","Indonesia","78572","3710","37636","117.2400976","-2.2150502"
"74","7/14/2020","Irland","25638","1746","23364","#N/A","#N/A"
"75","7/14/2020","Israel","41235","368","19474","35.0044500","31.4611019"
"76","7/14/2020","India","906752","23727","571460","79.6119736","22.8857804"
"77","7/14/2020","Iraq","81757","3345","50782","43.7435320","33.0397051"
"78","7/14/2020","Iran","262173","13211","225270","54.2740707","32.5750329"
"79","7/14/2020","Iceland","1905","10","1882","-18.5739709","64.9957526"
"80","7/14/2020","Italiy","243344","34984","195441","#N/A","#N/A"
"81","7/14/2020","Jamaica","759","10","628","-77.3148256","18.1569548"
"82","7/14/2020","Jordan","1183","10","1008","36.7713725","31.2457939"
"83","7/14/2020","Japan","22431","984","18126","138.0308921","37.5923006"
"84","7/14/2020","Kenya","10791","202","3017","37.7959444","0.5998746"
"85","7/14/2020","Kyrgyzstan","11444","149","3538","74.5416555","41.4622179"
"86","7/14/2020","Cambodia","165","0","133","104.9069431","12.7200493"
"87","7/14/2020","Comoros","317","7","296","43.6823810","-11.8777757"
"88","7/14/2020","Saint Kitts andNevis","17","0","15","#N/A","#N/A"
"89","7/14/2020","South Korea","13512","289","12282","127.8391693","36.3852463"
"90","7/14/2020","kuwait","56174","396","46161","47.5869936","29.3343168"
"91","7/14/2020","Kazakhstan","61755","375","35911","67.2914966","48.1568795"
"92","7/14/2020","Laos","19","0","19","103.7377213","18.5021797"
"93","7/14/2020","Lebanon","2419","36","1423","35.8801633","33.9230699"
"94","7/14/2020","Sainte Lucia","22","0","19","#N/A","#N/A"
"95","7/14/2020","Liechtenstein","84","1","81","9.5357359","47.1366545"
"96","7/14/2020","Sri Lanka","2661","11","1988","80.7010779","7.6126631"
"97","7/14/2020","Liberia","1024","51","439","-9.3220778","6.4527827"
"98","7/14/2020","Lesotho","256","3","48","28.2272277","-29.5800467"
"99","7/14/2020","Lithuania","1875","79","1571","23.8872004","55.3261108"
"100","7/14/2020","Luxembourg","4956","111","4183","6.0718268","49.7672469"
"101","7/14/2020","Latvia","1174","31","1022","24.9123704","56.8508531"
"102","7/14/2020","Libya","1512","40","367","18.0086578","27.0309425"
"103","7/14/2020","Morocco","16047","256","13403","-8.4561605","29.8376279"
"104","7/14/2020","Monaco","109","4","97","7.4062805","43.7527611"
"105","7/14/2020","Moldova","19439","652","13033","28.4567374","47.1949932"
"106","7/14/2020","Montenegro","1287","24","330","19.2388382","42.7889115"
"107","7/14/2020","Madagascar","5343","39","2646","46.7047375","-19.3718960"
"108","7/14/2020","Macedonia","8332","389","4468","21.6821134","41.5953106"
